575, Percy Jackson & the Olympians: The Lightning Thief
576, Yes Man
577, Good Will Hunting
578, The Social Network
579, Chicken Run
580, Hansel & Gretel: Witch Hunters
581, Baby Driver
582, Con Air
583, Interview with the Vampire
584, Flightplan
585, Non-Stop
586, Honey, I Shrunk the Kids
587, The Little Mermaid
588, Jumper
589, Wild Wild West
590, Presumed Innocent
591, Scary Movie 3
592, Inferno
593, Green Lantern
594, Planes
595, The Terminal
596, It's Complicated
597, Knocked Up
598, The Prince of Egypt
599, Jack Reacher
600, Collateral
601, Ted 2
602, Central Intelligence
603, Million Dollar Baby
604, Twins
605, Valentine's Day
606, Bad Teacher
607, Clear and Present Danger
608, One Hundred and One Dalmatians
609, Dracula
610, Vertical Limit
611, Dracula Untold
612, Ghostbusters II
613, The Patriot
614, The Sorcerer's Apprentice
615, 8 Mile
616, Just Go with It
617, Public Enemies
618, The Bourne Identity
619, Disclosure
620, Dirty Dancing
621, Pulp Fiction
622, Crouching Tiger, Hidden Dragon
623, Into the Woods
624, Bedtime Stories
625, Entrapment
626, Ace Ventura: When Nature Calls
627, Master and Commander: The Far Side of the World
628, Miss Congeniality
629, End of Days
630, Bridget Jones's Baby
631, Fury
632, Due Date
633, Kingdom of Heaven
634, District 9
635, Moonraker
636, Braveheart
637, Red Dragon
638, Tomorrowland
639, Lemony Snicket's A Series of Unfortunate Events
640, Safe House
641, Lost in Thailand
642, Me Before You
643, Traffic
644, The Fast and the Furious
645, Philadelphia
646, The Expendables 3
647, Sleepy Hollow
648, The Jungle Book
649, London Has Fallen
650, Silver Linings Playbook
651, Paranormal Activity 3
652, JFK
653, White House Down
654, The Ugly Truth
655, The Break-Up
656, Eat Pray Love
657, King Arthur
658, Everest
659, Vanilla Sky
660, Arrival
661, Need for Speed
662, Battle: Los Angeles
663, Patch Adams
664, Fun with Dick and Jane
665, Teenage Mutant Ninja Turtles
666, Kindergarten Cop
667, Straight Outta Compton
668, You Don't Mess with the Zohan
669, 21 Jump Street
670, Yogi Bear
671, Garfield
672, Valkyrie
673, Rocky II
674, The Hunt for Red October
675, Total Recall
676, City of Angels
677, Jack the Giant Slayer
678, Open Season
679, Smurfs: The Lost Village
680, Spy Kids 3-D: Game Over
681, The Other Woman
682, Stargate
683, 50 First Dates
684, Panic Room
685, The Vow
686, Anger Management
687, Beowulf
688, For Your Eyes Only
689, The Pelican Brief
690, A Dog's Purpose
691, The Intern
692, The Holiday
693, Gangs of New York
694, Paranormal Activity
695, The Sum of All Fears
696, The Curse of the Were-Rabbit
697, The Equalizer
698, The Addams Family
699, The Living Daylights
700, Superman II
701, The Longest Yard
702, Hollow Man
703, Cheaper by the Dozen
704, Outbreak
705, The Santa Clause
706, Gnomeo & Juliet
707, The X Files
708, Rambo III
709, 22 Jump Street
